stop_id;stop_code;stop_name;stop_lat;stop_lon;zone_id;alias;stop_area;stop_desc;lest_x;lest_y;zone_name;authority
26853;7820011-1;Anne;58.37711352;26.75074771;26853;;Tartu linn;"Sõpruse ringi suunas";6474036.29;660892.03;TartuLinn;Tartu LV
26854;7820012-1;Annelinna gümnaasium;58.37592598;26.77040002;26854;;Tartu linn;"Jaama tn.suunas";6473951.45;662046.31;TartuLinn;Tartu LV
26401;7820223-1;Risti;58.39187722;26.72209621;26401;;Tartu linn;"Narva mnt. suunas";6475610.93;659150.41;TartuLinn;Tartu LV
26856;7820017-1;Annemõisa;58.37675489;26.77791425;26856;;Tartu linn;"Nõlvaku suunas";6474061.87;662481.76;TartuLinn;Tartu LV
26388;7820207-1;Raudteejaam;58.37374151;26.70719702;26388;;Tartu linn;"Kesklinna suunas";6473557.40;658361.29;TartuLinn;Tartu LV
26986;7801161-1;Õssu;58.36338368;26.64911008;26986;;Tartu linn;;6472269.00;655010.75;;Tartu LV
26850;7820008-1;Alasi;58.34784648;26.71726794;26850;;Tartu linn;"Jalaka tn. suunas";6470699.45;659066.88;TartuLinn;Tartu LV
24733;7820083-1;Kaubajaam;58.36972457;26.70744613;24733;;Tartu linn;;6473110.95;658393.91;TartuLinn;Tartu LV
26239;7820180-1;Peetri kirik;58.38996052;26.72743991;26239;;Tartu linn;"Narva mnt. suunas";6475410.32;659471.34;TartuLinn;Tartu LV
24726;7820077-1;Eha;58.36981141;26.72779418;24726;;Tartu linn;"linnast väljuv";6473168.84;659583.28;TartuLinn;Tartu LV
27317;7800678-1;Pihva;58.35396972;26.59720401;27317;;Tartu linn;"Viljandi suunas";6471102.50;652015.62;;Tartu LV
20389;7800137-1;Ilmatsalu kool;58.38770101;26.56224739;20389;Ilmatsalu;Tartu linn;"Ilmatsalu suunas";6474778.00;649827.12;;Tartu LV
20181;7800742-1;Rahinge kool;58.38549327;26.61024278;20181;;Tartu linn;"Veeriku suunas";6474640.50;652641.81;;Tartu LV
24852;7800206-1;Kandiküla;58.37938107;26.6698653;24852;;Tartu linn;"Ilmatsalu suunas";6474097.50;656153.68;;Tartu LV
20364;7800803-1;Rähni;58.41037018;26.63034183;20364;;Tartu linn;"Tartu suunas";6477455.03;653707.94;;Tartu LV
28657;7800548-1;Mudaniku;58.41997223;26.57490011;28657;;Tartu linn;"Vorbuse suunas";6478398.00;650428.68;;Tartu LV
26080;7820054-1;Ihaste tee II;58.36006973;26.75960196;26080;;Tartu linn;"Ihaste suunas";6472160.87;661487.70;TartuLinn;Tartu LV
28687;7800746-1;Ranna;58.35930016;26.64317157;28687;;Tartu linn;"Viljandi suunas";6471800.83;654681.36;;Tartu LV
28775;7800984-1;Tõnise;58.43469957;26.63180331;28775;;Tartu linn;"Kardla tee peatuse suunas";6480166.07;653687.01;;Tartu LV
28856;7800802-1;Rähni;58.41041982;26.62962727;28856;;Tartu linn;"Tallinna suunas";6477458.92;653665.99;;Tartu LV
28857;7800952-1;Tiksoja;58.40833878;26.65381726;28857;;Tartu linn;"Tartu suunas";6477282.99;655088.00;;Tartu LV
26070;7820041-1;Herne;58.38597247;26.71485573;26070;;Tartu linn;"linnast väljuv";6474936.65;658753.93;TartuLinn;Tartu LV
26509;7820227-1;Prisma;58.37609415;26.77878983;26509;;Tartu linn;;6473990.46;662535.99;TartuLinn;Tartu LV
142069;7820208-3;Raudteejaam;58.37394718;26.70686254;142069;;Tartu linn;"Maarjamõisa suunas";6473579.50;658340.81;;Tartu LV
156823;7801161-2;Õssu;58.36344141;26.64898804;156823;;Märja alevik;"Lõpp peatus";6472275.14;655003.35;;Tartu LV
20307;7800388-1;Külasüda;58.42118798;26.66201498;20307;;Tartu linn;"Vorbuse; Kivisäki peatuste suunas";6478731.97;655510.04;;Tartu LV
33513;7820053-1;Ihaste tee I;58.36517863;26.75879689;33513;;Tartu linn;"linna sisenev";6472727.47;661417.22;TartuLinn;Tartu LV
29525;7800790-1;Rõhu;58.35064614;26.52603069;29525;;Tartu linn;"Tartu suunas";6470573.50;647865.75;;Tartu LV
154124;7820377-1;Raatuse;58.38243802;26.73248488;154124;;Tartu linn;"kesklinna suunas";6474585.18;659800.28;;Tartu LV
29921;7800953-1;Tiksoja;58.40859138;26.65332355;29921;;Tartu linn;"Tallinna suunas";6477309.96;655058.05;;Tartu LV
26376;7820195-1;Raatuse;58.3823387;26.73229325;26376;;Tartu linn;"linnast väljuv";6474573.67;659789.53;TartuLinn;Tartu LV
24734;7820084-1;Kesklinn VI;58.37690955;26.72650997;24734;;Tartu linn;"Hansakeskuse vastas";6473955.71;659476.07;TartuLinn;Tartu LV
30312;7800376-1;Kärevere sild;58.42026602;26.51663012;30312;;Tartu linn;"Tallinna suunas";6478301.50;647024.87;;Tartu LV
30366;7800550-1;Muide;58.40533477;26.66991284;30366;;Tartu linn;"Tartu suunas";6476986.00;656041.43;;Tartu LV
25008;7820131-1;Ilmatsalu;58.37675423;26.69035434;25008;;Tartu linn;"Riia tn. suunas";6473853.04;657363.13;TartuLinn;Tartu LV
30782;7800382-1;Kärnise;58.45213142;26.57081736;30782;;Tartu linn;"Vorbuse suunas";6481968.07;650053.04;;Tartu LV
